name,transcription,meaning,extended meaning,gloss,language
Abífárìn,a-bá-ifá-rìn,One who walks with Ifá.,unknown,[{'a': ' - one who'}],yoruba
Abílàwọ́n,a-bí-là-wọ́n,One given birth to in the middle of the rest.,"Like Ọ̀kánlàwọ́n, this name is given to a child of a different gender born after a streak of having children of the same gender. For instance, the first female child born after five male children were born will be Ọ̀kánlàwọ́n or Abílàwọ́n: born to diffuse the gender streak.",[{'a': ' - one who'}],yoruba
Abíléọlá,"a-bí-lé-ọlá, àbílé-ọlá, a-bí-(ní)-ilé-ọlá",HOMOGRAPH 1. One given birth to after tremendous wealth (Abíléọlá. Also Àbíléọlá) 2. One given birth to in the home of wealth (Abíléọlá. e.g. A bí ní ilé ọlá),unknown,[{'a': ' - we'}],yoruba
Abílẹ́wà,a-bí-ní-ẹwà,Someone born with (great) beauty.,unknown,[{'a': ' - someone'}],yoruba
Abíminá,a-bí-mi-ná,We have given birth to me already.,unknown,[{'a': ' - we'}],yoruba
Abímisíreolúwa,a-bí-mi-sí-ire-olúwa,I have been born into the goodness of God.,unknown,[{'a': ' - we'}],yoruba
Abímisọ́lá,a-bí-mi-sí-ọlá,We birthed me into wealth/success.,See also: Abímbọ́lá,[{'a': ' - we'}],yoruba
Abímpé,a-bí-mi-pé,I was birthed whole.,"It could be translated to mean a perfectly healthy child, that is, birthed without any blemish or disabilities.",[{'a': ' - we'}],yoruba
Abínbọ́lá,a-bí-ni-bí-ọlá,"Another way of writing ""Abímbọ́lá"".",unknown,[{'a': ' - we'}],yoruba
Abínná,a-bí-mi-ná,I've been born already.,unknown,[{'a': ' - we'}],yoruba
Abínúwáíyé,a-bínú-wá-aiyé,One who came into the world angry.,unknown,[{'a': ' - one who'}],yoruba
Abínúwáyé,a-bínú-wá-ayé,One who comes into the world angry.,A cognomen.,[{'a': ' - one who'}],yoruba
Abíógun,a-bí-(sí)-ogun,One born into war.,unknown,[{'a': ' - someone'}],yoruba
Abísádé,a-bí-sí-adé,Born into royalty.,unknown,[{'a': ' - one who (is)'}],yoruba
Abísáyọ̀,a-bí-sí-ayọ̀,Born into happiness or into joy.,See also: Abísọ́lá,[{'a': ' - one who'}],yoruba
Abíshọlá,a-bí-ṣe-ọlá,Born to make wealth/success.,Not to be confused with Abísọ́lá.,[{'a': ' - someone'}],yoruba
Abísógun,a-bí-sí-ogun,Born into battle.,unknown,[{'a': ' - someone who'}],yoruba
Abísúgà,a-bí-sí-ugà,One born into royalty.,unknown,[{'a': ' - one who (is)'}],yoruba
Abíọ́jà,a-bí-(sí)-ọjà,One given birth to in the marketplace.,unknown,[{'a': ' - someone'}],yoruba
Abíọ́kọ̀,a-bí-(sí)-ọkọ̀,One that was given birth to in a vehicle.,unknown,[{'a': ' - one who (is)'}],yoruba
Abíọ́rọ̀,a-bí-(sí)-ọrọ̀,One born into wealth.,unknown,[{'a': ' - one who'}],yoruba
Abíọ́tọ̀,a-bí-sí-ọ̀tọ̀,Born different.,unknown,[{'a': ' - someone'}],yoruba
Abíádé,a-bí-(sí)-adé,One born to royalty.,It's a name associated with royal children.,[{'a': ' - we'}],yoruba
Abídèmí,a-bí-dè-mí,The child born before I returned.,It's a name typically given to a child born when the father was away out of town/country.,[{'a': ' - we'}],yoruba
Abíkóyè,a-bí-kún-oyè,Given birth to in addition to the chieftaincy.,It's most likely given to a child born after the parent has earned a notable chieftaincy role (or kingship),[{'a': ' - one who'}],yoruba
Abímbádé,a-bí-mi-bí-adé,I was born with the crown.,"The ""adé"" (crown) component of the name shows it to be a name given to a child from a royal family.",[{'a': ' - we'}],yoruba
Abímbólú,a-bí-mí-bá-olú,I was born into a family of champions.,unknown,[{'a': ' - we'}],yoruba
Abímbóyè,a-bí-mi-bí-oyè,I was born with the chieftaincy.,unknown,[{'a': ' - we'}],yoruba
Abímbọ́lá,a-bí-mi-bí-ọlá,I was born with wealth/success/nobility/prestige.,unknown,[{'a': ' - we'}],yoruba
Abímbọ́nà,a-bí-mi-bí-ọnà,I was born with artistry.,Compare: Abímbọ́lá,[{'a': ' - we'}],yoruba
Abínúṣawà,a-bínú-se-awà,[unknown],unknown,[{'a': ' - one who'}],yoruba
Abíóyè,a-bí-(sí)-oyè,Born with the chieftaincy.,"in Ọ̀yọ́, this will usually be a name for a child (male or female) born to a sitting Aláàfin. In other Yoruba towns, a chuld born maybe after a chieftaincy has been conferred on a parent gets this name. Generally reserved for royal families","[{'a': ' - we, one who'}]",yoruba
Abírí,a-bí-rí,We've given birth to him/her before.,unknown,[{'a': ' - we'}],yoruba
Abísóyè,a-bí-sí-oyè,Born into the chieftaincy.,unknown,"[{'a': ' - we, one who'}]",yoruba
Abísọdún,a-bí-sí-ọdún,Born during a festival.,unknown,"[{'a': ' - we, one who'}]",yoruba
Abísọ́lá,a-bí-sí-ọ́lá,Born into wealth.,unknown,"[{'a': ' - we, one who'}]",yoruba
Abíọ́nà,"a-bí-(sí)-ọnà, a-bí-(sí)-ọ̀nà",1. Born into the arts. 2. Born on the way.,"The name Abíọ́nà (given birth to on the road) is usually given to a child either literally born on the road, or someone born during a notable transition period in the lives of the parents.",[{'a': ' - we'}],yoruba
Abíọ́dún,a-bí-(sí)-ọdún,Born during a festival.,unknown,[{'a': ' - we'}],yoruba
Abíọ́lá,a-bí-(sí)-ọlá,Born into wealth/success/nobility.,unknown,[{'a': ' - we'}],yoruba
Abíọ́sẹ̀,a-bí-(sí)-ọ̀sẹ̀,Born on a Sunday.,"A child born on a day traditionally set aside for the worship of Ifá, or any of the orisas.","[{'a': ' - we, one who'}]",yoruba
Abosete,a-bá-ọ̀sẹ̀-dé,See: Abọ́sẹ̀dé,unknown,[{'a': ' - someone'}],yoruba
Abógunrìn,a-bó-gun-rìn,One who was born at wartime.,unknown,[{'a': ' - one who'}],yoruba
Abólúdé,a-bá-olú(wa)-dé,One who came with the lord.,unknown,[{'a': ' - one who'}],yoruba
Abólúrìn,a-bá-olú(wa)-rìn,One who walks with God.,unknown,[{'a': ' - one who'}],yoruba
Abóndé,a-bá-oun-dé,The one who came with a significant occasion.,unknown,[{'a': ' - one who'}],yoruba
Abórìshàdé,a-bá-òrìṣà-dé,One who returns with the Òrìṣà.,See also: Abórìṣàdé.,[{'a': ' - one who'}],yoruba
Abógundé,a-bá-ogun-dé,He came with the war.,unknown,"[{'a': ' - one who, we'}]",yoruba
Abólúwarìn,a-bá-olúwa-rìn,He walks with the lord.,unknown,"[{'a': ' - one who, we'}]",yoruba
Abórìṣàdé,a-bá-òrìsà-dé,One who came with the òrìṣà.,unknown,[{'a': ' - we'}],yoruba
Abóyèjí,a-bá-oyè-jí,1. One who wakes up with chieftaincy/honour. 2. We woke up with chieftaincy/honour.,unknown,[{'a': ' - one who'}],yoruba
Abulẹ̀ṣowó,a-bu-ilẹ̀-ṣe-owó,One who makes wealth from tilling the soil.,unknown,[{'a': ' - one who'}],yoruba
Aburúmákú,a-burú-má-kú,The one who is wicked yet won't die.,unknown,[{'a': ' - someone'}],yoruba
Abùlátàn,a-bù-ní-àtàn,(One with) plenty of roasted meat to pick from. A great hunter. [See extra information below.],Atàn is where meat is roasted. Abùlátàn is the name for someone reputed to have so much meat on the roast. .e.g. a great hunter.,[{'a': ' - someone'}],yoruba
Abáfárìn,a-bá-ifá-rìn,One who travels/walks with the (ifá) priesthood/corpus,unknown,[{'a': ' - someone'}],yoruba
Abíbádé,a-bí-bá-adé,Born with/into royalty. The birth of the child found royalty in the family.,unknown,[{'a': ' - someone'}],yoruba
Abídúró,a-bí-dúró,A child that was birth to live.,unknown,[{'a': ' - someone'}],yoruba
Abímbésú,a-bí-mi-bí-eṣú,I was born in the year of the locusts.,unknown,[{'a': ' - we'}],yoruba
Abímifólúwa,a-bí-mi-fún-olúwa,I was born for the lord,unknown,[{'a': ' - we'}],yoruba
Abímigbó,a-bí-mi-gbó,One who was born mature.,unknown,[{'a': ' - someone'}],yoruba
Abíára,a-bí-á-ra,Born into one's body.,A name given to a child suspected to be a product of inbreeding/incest. [citation/verification needed],[{'a': ' - we'}],yoruba
Abólèjà,a-bá-olè-jà,One who fights the thieves.,unknown,[{'a': ' - someone'}],yoruba
Abólúwagbé,a-bá-olúwa-gbé,One who lives with God.,unknown,[{'a': ' - someone'}],yoruba
Abólúwají,a-bá-olúwa-jí,One who wakes with the God.,unknown,[{'a': ' - someone'}],yoruba
Abólúwapé,a-bá-olúwa-pé,A child who's completed with the Lord.,unknown,[{'a': ' - someone'}],yoruba
Abẹ̀rùàgbà,a-bẹ̀rù-àgbà,The one who respects elders.,A nickname. Abẹ̀rùàgbà is the opening phrase in the proverbial sentence: Abẹ̀rùàgbà ni yó tẹlẹ̀ yí pẹ́ (only the respectful will live long).,[{'a': ' - one who'}],yoruba
Abẹ́lẹ́shindọ́gba,a-bá-ẹlẹ́ṣin-dọ́gba,One who is as prominent as the horseman.,unknown,[{'a': ' - one who'}],yoruba
Abẹ́lẹ́ṣindọ́gba,a-bá-ẹlẹ́ṣin-dọ́gba,One who is as prominent as the horseman.,unknown,[{'a': ' - one who'}],yoruba
Abẹṣin,a-bi-ẹṣin,The horse owner.,unknown,[{'a': ' - one who'}],yoruba
Abọ́badé,-,He who comes with the king.,unknown,,yoruba
Abọ́barìn,a-bá-ọba-rìn,He who walks/fellowships with the king.,unknown,[{'a': ' - one who'}],yoruba
Abọ́dúndé,a-bá-ọdún-dé,One born during a festival.,"Children born during the native festive seasons, including modern ones like Christmas, Easter, Eid-el-Fitr, etc are given this name.",[{'a': ' - one who'}],yoruba
Abọ́dúnrìnká,a-bá-ọdún-rìn-ká,One who walks around with festivities.,unknown,[{'a': ' - someone'}],yoruba
Abọ́dúnrìnwá,a-bá-ọ́dún-rìn-wá,One who arrives with the year. One who arrives with the season. One who arrives with festivities. We arrived with the year. We arrived with the season. We arrived with festivities.,unknown,"[{'a': ' - we, one who'}]",yoruba
Abọ́dúnr̀in,a-bá-ọdún-rìn,One who walks with the year.,unknown,[{'a': ' - one who'}],yoruba
Abọ́ládé,a-bá-ọlá-dé,One who arrives with wealth.,unknown,[{'a': ' - one who'}],yoruba
Abọ́lárìn,a-bá-ọlá-rìn,One who who walks with wealth.,It is the short form of Abọ́lárìnwá.,[{'a': ' - one who'}],yoruba
Abọ́lárìnwá,a-bá-ọlá-rìn-wá,One who walks in with wealth.,unknown,[{'a': ' - one who'}],yoruba
Abọ́láwarìn,a-bá-ọlá-wa-rìn,One who walks in with our wealth/success.,"Compare: Abólúwarìn, Abọ́lárìn",[{'a': ' - someone'}],yoruba
Abọ́rọ̀dé,a-bá-ọrọ̀-dé,The child came at the same time as success (in the family).,unknown,[{'a': ' - someone'}],yoruba
Abọ́sẹ̀dá,a-bá-ọ̀sẹ̀-dé,See: Abọ́sẹ̀dé,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.",[{'a': ' - someone'}],yoruba
Abọ́sẹ̀dé,a-bá-ọsẹ̀-dé,One born with a new week.,This is a name typically given to a child born on Sunday.,[{'a': ' - one who'}],yoruba
Abọ́yadé,a-bá-ọya-dé,One who arrives with the goddess Ọya.,unknown,[{'a': ' - one who'}],yoruba
Abọ́dẹrìn,a-bá-ọdẹ-rìn,He who walks with the hunters.,"Abọ́dẹrìn is a family name of a famous and old family from Kúdẹtì, Ìbàdàn",[{'a': ' - one who'}],yoruba
Abọ́lájí,a-bá-ọlá-jí,One who woke up with wealth.,unknown,[{'a': ' - one who'}],yoruba
Adagbádá,a-da-agbádá,One who goes around with yards of Agbádá. A wealthy person.,Another way of looking at the name is through the special place that the agbádá garment holds in Yorùbá social life. It signifies wealth and excess such that anyone called by this name is being implied to be very rich.,[{'a': ' - one who'}],yoruba
Adàránboríìyàwó,a-da-àrán-boo-orí-ìyàwó,One who covers their wife's head with velvet.,unknown,[{'a': ' - one who'}],yoruba
Adágún,a-dá-gún,Stagnant. [A shortened form of Adágúnodò.],unknown,[{'a': ' - one who'}],yoruba
Adákẹ́jà,a-dákẹ́-jà,He who fights in silence/silently.,unknown,[{'a': ' - one who'}],yoruba
Adálémọ,a-dá-ilé-mọ,One who build by himself without external assistance.,unknown,[{'a': ' - one who'}],yoruba
Adárabíọ̀yọ́,a-dára-bí-ọ̀yọ́,As beautiful/good as Ọ̀yọ́ town/people.,unknown,[{'a': ' - one who (is)'}],yoruba
Adáralẹ́gbẹ́,a-dára-ní-ẹgbẹ́,One who is beautiful among company.,unknown,[{'a': ' - one who (is)'}],yoruba
Adáralẹ́wà,a-dára-ní-ẹwà,A prominently beautiful/handsome person.,unknown,[{'a': ' - one who (is)'}],yoruba
Adáramódù,a-dára-mú-odù,One who is beautiful enough to pick the Odù.,unknown,[{'a': ' - someone'}],yoruba
Adáramóyè,a-dára-mọ́-oyè,One who perfectly fits (with) chieftaincy.,unknown,[{'a': ' - one who (is)'}],yoruba
Adáramọ́lá,a-dára-mọ́-ọlá,One who is beautiful with wealth.,unknown,[{'a': ' - one who'}],yoruba
Adáraníjọ,a-dára-ní-ìjọ,Good in company.,unknown,[{'a': ' - one who'}],yoruba
Adáratán,a-dára-tán,The completely beautiful one.,unknown,[{'a': ' - someone'}],yoruba
Adágúnodò,adágún-odò,A stagnant water. A lake.,"It is one of the name of ruling houses in Ìwó, Ọṣun State. 

There is a deeper meaning to this name not evident from its surface interpretation. Babalọlá & Àlàbá (2003)'s ""A Dictionary of Yorùbá Personal Names"" gives the meaning of the name simply as ""a lake"", calling it a common Yorùbá nickname.",[{'adágún': ' - stagnant'}],yoruba
Adámọlẹ́kun,a-dá-ọmọ-ní-ẹ̀kun,One who makes a child stop crying.,A nickname.,[{'a': ' - one who'}],yoruba
Adásọfúnjó,a-dá-asọ-fún-ijó,He sews clothes for dancing.,unknown,[{'a': ' - one who'}],yoruba
Adechiná,adé-ṣí-ọ̀nà,Royalty opens the way.,"A Lukumi name for ""Adéshínà"", from Brazil.","[{'adé': ' - crown, royalty'}]",yoruba
Adegùntẹ́,adé-gùn-ìtẹ́,The crown has ascended the throne.,unknown,[{'adé': ' - crown'}],yoruba
Adejaju,adé-dájú,See: Adedájú.,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.",[{'adé': ' - crown'}],yoruba
Adeloi,adé-ni-oyè,See: Adéloyè.,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.",[{'adé': ' - crown'}],yoruba
Adenaju,adé-yanjú,See: Adéyanjú.,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.","[{'adé': ' - crown, royalty'}]",yoruba
Adetoto,adé-tòótọ́,See: Adétòótọ́.,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.",[{'adé': ' - crown'}],yoruba
Adetotun,adé-ti-ọ̀tun,A crown renewed. See: Adéọ̀tun,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.",[{'adé': ' - crown'}],yoruba
Adéayọ̀,ade-ayọ̀,A crown of joy.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adéàga,adé-àga,The crown of the seat.,unknown,[{'adé': ' - crown'}],yoruba
Adébarí,adé-ba-orí,The crown touches the head.,unknown,[{'adé': ' - crown'}],yoruba
Adébàjò,adé-bọ̀-àjò,The crown returns from a trip.,unknown,[{'adé': ' - crown'}],yoruba
Adébàmerun,adé-bà(bá)-mi-è-run,The crown of my lineage isn't lost.,See: Ọlábàmerun,[{'adé': ' - crown'}],yoruba
Adébágbo,"adé-bá-agbo, a-dé-bá-agbo",1. The crown meets the crowd. 2. We arrived to meet the crowd.,unknown,[{'adé': ' - crown'}],yoruba
Adébákin,a-dé-bá-akin,We arrived to find valor.,unknown,[{'a': ' - we'}],yoruba
Adébámbọ̀,adé-bá-mi-bọ̀,Royalty returned with me.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébámigbé,adé-bá-mi-gbé,Royalty lives with me.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébámiró,adé-bá-mi-ró,The crown stands with me.,unknown,[{'adé': ' - crown'}],yoruba
Adébánwí,adé-bá-mi-wí,The crown scolded me.,unknown,[{'adé': ' - crown'}],yoruba
Adébárá,"adé-bá-ará, a-dé-bá-ará",1. The crown meets family. 2. We arrived to meet family.,unknown,[{'adé': ' - crown'}],yoruba
Adébisọ́lá,adé-bí-sí-ọlá,The crown gave birth to (this) in nobility/wealth.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébí,adé-bí,Birthed by the crown.,"Also: ""Adé Bi"" in Lukumi.","[{'adé': ' - crown, royalty'}]",yoruba
Adébímpé,adé-bí-mi-pé,The crown gave birth to me complete.,unknown,[{'adé': ' - crown'}],yoruba
Adébòmí,adé-bò-mí,The crown covers me.,unknown,[{'adé': ' - crown'}],yoruba
Adébógun,a-dé-bó-gun,One who returns to meet war.,unknown,[{'a': ' - one who'}],yoruba
Adébólújọ,adé-bá-olú-jọ,Royalty and prominence are peers.,unknown,[{'adé': ' - the crown'}],yoruba
Adébóyèga,adé-bá-oyè-ga,The crown grew with honour.,"Not to be confused with ""Adégbóyèga"".","[{'adé': ' - crown, royalty'}]",yoruba
Adébóyèjọ,"adé-bá-oyè-jọ, a-dé-bá-oyè-jọ",1. The crown is at one with honour. 2. We arrived to be at one with honour.,unknown,[{'adé': ' - crown'}],yoruba
Adébùkúnọlámi,adé-bùkún-ọlá-mi,Royalty blessed my success.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébùkọ́lá,adé-bù-kún-ọlá,Royalty is added to affluence.,unknown,[{'adé': ' - crown'}],yoruba
Adébùsáyọ̀mi,adé-bù-sí-ayọ̀-mi,The crown has added to my joy.,unknown,[{'adé': ' - royalty'}],yoruba
Adébùsúyì,adé-bù-sí-uyì,Royalty adds to value.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébùsọ́lá,adé-bù-sí-ọlá,The crown added to wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adébúlújọ,adé-bá-ùlú-jọ,The crown is at one with the town.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébúmitì,adé-bú-mi-tì,The crown is incapable of insulting me.,unknown,[{'adé': ' - crown'}],yoruba
Adébọ̀,adé-bọ̀,The crown returns.,unknown,[{'adé': ' - crown'}],yoruba
Adébọ̀sáyọ̀,adé-bọ̀-sí-ayọ̀,The crown has returned to joy.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébọ̀sọ́lá,"adé-bọ̀-sí-ọlá, a-dé-bọ̀-sí-ọlá",1. The crown return into wealth. 2. We returned into wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adébọ̀wá,adé-bọ̀-wá,Royalty returns.,See also: Adébọ̀wálé,"[{'adé': ' - royalty, crown'}]",yoruba
Adébọ̀wálé,adé-bọ̀-wá-ilé,The crown returned home.,"""My middle name ""Adébọ̀wálé"" was chosen to commemorate the crowning of the new Àyàngbúrẹ̀n of Ìkòròdú in the year that I was born. The chosen Ọba Salaudeen Oyèfùsì (Ògúntádé II) was from my family and remained King for 44yrs until his death in 2014 aged 83yrs"" - User commentary",[{'adé': ' - crown'}],yoruba
Adébọ̀ọ́lá,a-dé-bọ̀-ọlá,1. We returned into wealth. 2. The crown enters into wealth.,unknown,[{'a': ' - we'}],yoruba
Adébọ́lájọ,adé-bá-ọlá-jọ,Royalty is at one with nobility.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adébọ́mọjọ,adé-bá-ọmọ-jọ,Royalty suits the child.,unknown,[{'adé': ' - crown'}],yoruba
Adébọ́nọ̀jọ,adé-bá-ọnọ̀-jọ,The crown matches art.,unknown,[{'adé': ' - crown'}],yoruba
Adébọ́rọ̀,"adé-bá-ọrọ̀, a-dé-bá-ọrọ̀",1. The crown meets wealth. 2. We arrived to meets wealth.,unknown,[{'adé': ' - crown'}],yoruba
Adédara,"adé-dara, adé-dá-àrà",1. The crown is good. (Adédára) 2. The crown makes wonders (Adédárà),unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédájú,adé-dájú,The crown is ruthless.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédáre,adé-dá-àre,The crown justifies (me).,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédiba,adé-di-igba,See: Adédigba,"Many of the names listed under this ""Foreign-General"" tag were found in old printed sources, and may have been spelt wrongly or according to the orthographic limitations of the times. For this reason, they may not always correspond to modern spellings. They are included in this dictionary as a way to guide those who found them and came here to look for their meaning to the right meaning and the right contemporary spellings of the names. These sources are from old Lagos publications, likely influenced by foreign returnees from Cuba and Brazil.","[{'adé': ' - crown, royalty'}]",yoruba
Adédigba,adé-di-igba,Royalty/prestige has becomes multiplied into many folds (two hundred).,unknown,[{'adé': ' - crown'}],yoruba
Adédiní,adé-di-ni,The crown becomes a person.,"This is a royal name, typically given to the first royal child (usually son).",[{'adé': ' - crown'}],yoruba
Adédinṣewò,adé-dí-n-ṣe-wò,The crown gives me a chance to try.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédire,adé-di-ire,"Good fortune has followed coronation. We were royal, and now we have good fortune.",unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédìran,adé-di-ìran,The crown becomes generational.,unknown,[{'adé': ' - crown'}],yoruba
Adédorin,adé-di-orin,Royalty has become a song.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédoyinsọ́lá,adé-da-oyin-sí-ọlá,Royalty has made wealth sweeter.,unknown,[{'adé': ' - crown'}],yoruba
Adédòkun,adé-di-òkun,The crown becomes the ocean. [verification needed],A more accurate interpretation will be that the child (born into a royal family) is a harbinger of wealth for the family into which he/she was born.,[{'adé': ' - crown'}],yoruba
Adédoṣù,adé-di-oṣù,The crown has come of age.,unknown,[{'adé': ' - crown'}],yoruba
Adédùn,adé-dùn,Royalty is sweet.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédùnmóyè,adé-dùn-mọ́-oyè,The crown is sweet with honour.,unknown,[{'adé': ' - crown'}],yoruba
Adédùnmọ́lá,adé-dùn-mọ-ọlá,Royalty is sweet with nobility.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédùnní,adé-dùn-ní,The crown is sweet to have. Royalty is worth having.,unknown,[{'adé': ' - crown'}],yoruba
Adédùńbí,adé-dùn-bí,Royalty is good to birth (as one's child).,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédúró,adé-dúró,The crown stays.,The name might be an àbíkú name given to a child born into a royal family.,"[{'adé': ' - crown, royalty'}]",yoruba
Adédẹkẹ́,adé-di-ẹkẹ́,The crown has become dependable.,unknown,"[{'adé': ' - crown, royalty'}]",yoruba
Adédẹ̀wẹ́,adé-di-ẹ̀wẹ́,[unknown],unknown,[{'adé': ' - crown'}],yoruba
Adédọba,a-dé-di-ọba,We arrived to become king.,unknown,[{'a': ' - we'}],yoruba
Adédọjà,adé-di-ọjà,The crown becomes valuable.,"""When you create something useful, you will be proud of it and want to show it off or earn money from it, which might lead to you putting it for sale in the market (therefore, that thing is of value to you). That's the link between market and value in the name Adédọjà. It means my royal creation/child (Adé) is so valuable to me that I will show it off to the public/in the market.""",[{'adé': ' - crown'}],yoruba
