name,transcription,meaning,gender,language
Nkemaka,/Nkem-aka/,Mine has become more/superior,f,igbo
Nkem,/Nke-m/,Mine,f,igbo
Nkejiaka,/Nke-eji-aka/,The thing by which we surpass,m,igbo
Nkamigbo,-,unknown,-,igbo
Nkechi,/Nke-chi/,God's own,f,igbo
Njideka,/Njide-ka/,Keeping possession worths more or is far greater.,f,igbo
Nkechinyere,/Nke-chi-nyere/,One or a thing given by God,f,igbo
Nkachukwu,/Nka-chukwu/,God's craft (work),m,igbo
Ngwube,/Ngwube/,Founding or foundation,m,igbo
Njoku,/Njọkụ/,The yam deity.,m,igbo
Ngwu,/Ngwu/,"A deity in certain Igbo communities in Enugu and Anambra states, Nigeria. Bears similarities with Ogwugwu.",m,igbo
Ngozika,/Ngọzị-ka/,Ngozi chukwu ka,f,igbo
Ngene,/Ngene/,A river deity,m,igbo
Ngozi,/Ngọzị/,Blessing,f,igbo
Ngoka,-,unknown,-,igbo
Ngige,/Ngige/,Fence; Barrier,m,igbo
Netochukwu,/Na-eto-chukwu/,Continue praising God.,m/f,igbo
Nebeolisa,/Nebe-olisa/,Keep your eyes on,m,igbo
Nebuwa,/Nebe-ụwa/,unknown,Watch the world (in resignation),igbo
Nduoma,/Ndụ-ọma/,A well lived life; A good life,f,igbo
Nebechi,/Nebe-chi/,Keep focus on God,m/f,igbo
Ndulue,/Ndu-lue/,May life reach me,m,igbo
Ndukaku,/Ndụ-ka-akụ/,Life is greater than wealth.,m,igbo
Ndukwe,/Ndu-kwe/,Let life permit,m,igbo
Nebedum,-,unknown,-,igbo
Nduka,/Ndụ-ka/,unknown,m,igbo
Ndum,/Ndụ-m/,My Life,m,igbo
Ndife,/Ndị-ịfe/,The people of the light,m,igbo
Ndujekwu,/Ndu-jekwu/,Life will speak (on my behalf).,m,igbo
Ndidiamaka,/Ndidi-amaka/,Patience is so beautiful,f,igbo
Ndubuisi,/Ndụ-bụ-isi/,Life/living is paramount,m,igbo
Ndubueze,/Ndụ-bụ-eze/,Life is king,m,igbo
Ndubuaku,/Ndụ-bụ-akụ/,Life is wealth,m,igbo
Nduba,/Ndu-ba/,May Life abound,m,igbo
Ndigwe,/Ndị-igwe/,,m,igbo
Ndidi,/Ndidi/,Patience,m/f,igbo
Nchezo,/Nchezo/,To forget,m/f,igbo
Zinobia,-,unknown,-,igbo
Ziora,/Zi-ọra/,Teach or Show the people.,f,igbo
Ndibe,/Ndị-ịbe/,My kith or peers,m,igbo
Nchedo,/Nchedo/,Hope.,m/f,igbo
Ndefo,-,unknown,-,igbo
Nchekwube,/Nchekwube/,Hope,m/f,igbo
Zimuzo,/Zim-ụzọ/,Teach/show me the way,m,igbo
Zikora,/Ziko-ọra/,Show the people.,f,igbo
Wabara,/Nwa-agbara/,unknown,-,igbo
Tochukwu,/To-chukwu/,Praise God.,m/f,igbo
Wigwe,/Nwa-igwe/,unknown,-,igbo
Turugo,/Turu-ugo/,Excel or gain honor,m/f,igbo
Tochi,/Too-chi/,Praise God,f,igbo
Ziifechi,/Zí-ìfè-chí/,Show the light of God,m/f,igbo
Tagbo,/Taa-bu-gboo/,Today is early.,m,igbo
Ozua,/Ọzụa/,unknown,It echoes.,igbo
Ozor,/Ọzọ/,Someone who has acquired this title.,A prestigious title acquired by the Igbos,igbo
Ozoh,/Ọzọ/,A prestigious title acquired by the Igbos.,m,igbo
Ozohili,-,unknown,-,igbo
Ozojiofor,/Ọzọ-ji-ọfọ/,The,m,igbo
Ozoemena,/Ọzọ-emena/,Another (of event or situation) should not repeat itself or befall us a second time.,m,igbo
Tobenna,/Tobe-nna/,Keep praising the father,m,igbo
Ozoekwe,/Ọzọ-ekwe/,title or prestige befits them,m,igbo
Oyeocha,-,unknown,-,igbo
Ozo,/Ọzọ/,A prestigious title acquired by the Igbos,m,igbo
Ozioma,/Ozi-ọma/,Good news,f,igbo
Ozigbo,/O-zuru-igbo/,unknown,-,igbo
Oyinna,/Oyiri-Nna/,One who resembles the father,m/f,igbo
Oye,/Oye/,unknown,One of the four Igbo Market days.,igbo
Ovie,-,unknown,-,igbo
Otiono,-,unknown,-,igbo
Ote,-,unknown,-,igbo
Oti,-,unknown,-,igbo
Otosirieze,/Ò-tòsịrị̀-ézè/,1. Something befitting of a king,m,igbo
Osuofia,/Ọsụ-ọfịa/,One who clears the bush,m,igbo
Otuonye,/Ótù--ónyè/,One person.,m,igbo
Osuzoka,-,unknown,-,igbo
Osuji,-,unknown,-,igbo
Osuala,/Osu-Ala/,One set aside for,m,igbo
Osuizugbe,-,unknown,-,igbo
Osinyi,-,unknown,-,igbo
Osinachi,/O-si-na-chi/,It came from God,f,igbo
Ositadimma,/Osi-ta-dị-mma/,unknown,m,igbo
Osita,/Osi-ta/,If it begins today.,m,igbo
Osigwe,/Osi-igwe/,,m,igbo
Osonwa,/Ọsọ-nwa/,The race for a child.,m/f,igbo
Osaka,/Òsà-ká/,is greater (than all).,m,igbo
Oruchili,-,unknown,-,igbo
Osemeka,/Ose-emeka/,has done so much.,m,igbo
Osegbo,/Ose-egboo/,has settled a dispute,m,igbo
Ose,/Ose/,unknown,-,igbo
Osakwe,/Osa-kwe/,unknown,m,igbo
Osadebe,/Osa-debe/,keep or preserve (me),m,igbo
Oseloka,/Ose-eloka/,counseled or reasoned well,m,igbo
Oranye,/Ọ̀rà-nyè/,unknown, ,igbo
Orizu,-,unknown,-,igbo
Orjiakor,/Ọjị-akọ/,The Iroko shall not become scarce,m,igbo
Orie,/Orie/,unknown,One of the four market days of the Igbo week,igbo
Oranu,/Ọranụ/,unknown,That the people may hear.,igbo
Oranusi,-,unknown,-,igbo
Oranyelu,/Ọra-nyelụ/,Gift from the people,m,igbo
Orji,/Ọ́jị̀/,Iroko,m,igbo
Oranekwu,/Ọra-na-ekwu/,The people speak,m,igbo
Orakaeze,/Ọ̀rà-kà-ézè/,The people are greater than the king.,m,igbo
Orakeze,/Ora-ka-eze/,unknown,-,igbo
Orajiaka,/Ọra-ji-aka/,:,m,igbo
Oranika,-,unknown,-,igbo
